Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
58,864.65,1.250,-12.071,27.2254,2.6234,57.5313,0.0000,26.9164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7822,6.4353,0.3348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-451.252,-383.367,59.664,10.378,32.836,0.559170,0.421688,0.019142
59,864.66,1.250,-12.071,27.2235,2.6234,57.5310,0.0000,26.9166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7824,6.4351,0.3348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-451.220,-383.339,59.659,10.377,32.834,0.559160,0.421699,0.019141
60,865.42,1.200,-12.061,27.9355,2.6223,57.6521,0.0000,26.8332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6853,6.4863,0.3431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-463.106,-393.353,61.263,10.653,33.701,0.563461,0.416930,0.019609
61,865.42,1.200,-12.061,27.9356,2.6223,57.6521,0.0000,26.8332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6853,6.4863,0.3431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-463.107,-393.354,61.263,10.653,33.701,0.563461,0.416930,0.019609
62,865.43,1.200,-12.061,27.9338,2.6223,57.6519,0.0000,26.8334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6855,6.4862,0.3431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-463.077,-393.328,61.259,10.652,33.699,0.563451,0.416941,0.019608
63,866.19,1.150,-12.052,28.6631,2.6211,57.7735,0.0000,26.7495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5879,6.5373,0.3518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-475.252,-403.584,62.903,10.936,34.587,0.567750,0.412151,0.020099
64,866.19,1.150,-12.052,28.6632,2.6211,57.7735,0.0000,26.7495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5879,6.5373,0.3518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-475.254,-403.586,62.903,10.936,34.587,0.567750,0.412151,0.020099
65,866.20,1.150,-12.052,28.6615,2.6211,57.7733,0.0000,26.7496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5881,6.5372,0.3517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-475.225,-403.561,62.899,10.935,34.585,0.567741,0.412160,0.020098
66,866.96,1.100,-12.042,29.4085,2.6199,57.8954,0.0000,26.6653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4901,6.5883,0.3609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-487.697,-414.064,64.584,11.225,35.495,0.572032,0.407352,0.020616
67,866.96,1.100,-12.042,29.4086,2.6199,57.8954,0.0000,26.6653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4901,6.5883,0.3609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-487.699,-414.066,64.584,11.225,35.495,0.572032,0.407352,0.020616
68,866.96,1.100,-12.042,29.4070,2.6199,57.8951,0.0000,26.6655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4903,6.5882,0.3609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-487.673,-414.043,64.581,11.224,35.494,0.572024,0.407361,0.020615
69,867.72,1.050,-12.033,30.1718,2.6187,58.0176,0.0000,26.5809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3919,6.6392,0.3705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-500.444,-424.797,66.307,11.522,36.426,0.576302,0.402538,0.021161
