Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
97,873.60,0.600,-11.967,1.7232,4.8345,0.0000,9.6438,2.4472,48.8855,0.0000,36.4186,0.0000,2.6049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.560,-8.817,3.263,0.356,1.556,0.000000,-0.090121,0.679029,0.143359,0.267733
98,873.59,0.600,-11.967,1.7232,4.8345,0.0000,9.6439,2.4471,48.8854,0.0000,36.4187,0.0000,2.6048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.560,-8.817,3.263,0.356,1.556,0.000000,-0.090120,0.679028,0.143358,0.267734
99,874.01,0.550,-11.964,1.7143,4.8358,0.0000,9.6937,2.4101,48.8137,0.0000,36.5133,0.0000,2.5692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.488,-8.764,3.247,0.354,1.548,0.000000,-0.089004,0.678318,0.141457,0.269229
100,874.01,0.550,-11.964,1.7143,4.8358,0.0000,9.6937,2.4101,48.8137,0.0000,36.5133,0.0000,2.5692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.488,-8.764,3.247,0.355,1.548,0.000000,-0.089004,0.678318,0.141457,0.269229
101,874.01,0.550,-11.964,1.7143,4.8358,0.0000,9.6937,2.4100,48.8136,0.0000,36.5135,0.0000,2.5692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.488,-8.764,3.247,0.355,1.548,0.000000,-0.089003,0.678316,0.141455,0.269232
102,874.34,0.500,-11.962,1.7027,4.8371,0.0000,9.7514,2.3704,48.7282,0.0000,36.6191,0.0000,2.5309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.396,-8.696,3.224,0.352,1.537,0.000000,-0.087797,0.677433,0.139410,0.270955
103,874.34,0.500,-11.962,1.7027,4.8371,0.0000,9.7514,2.3704,48.7282,0.0000,36.6191,0.0000,2.5309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.396,-8.696,3.225,0.352,1.537,0.000000,-0.087797,0.677433,0.139410,0.270955
104,874.34,0.500,-11.963,1.7027,4.8371,0.0000,9.7516,2.3703,48.7280,0.0000,36.6193,0.0000,2.5309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.396,-8.696,3.225,0.352,1.537,0.000000,-0.087796,0.677430,0.139407,0.270959
105,874.55,0.450,-11.963,1.6879,4.8386,0.0000,9.8186,2.3278,48.6262,0.0000,36.7376,0.0000,2.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.281,-8.613,3.196,0.349,1.523,0.000000,-0.086496,0.676337,0.137206,0.272953
106,874.55,0.450,-11.963,1.6880,4.8386,0.0000,9.8186,2.3278,48.6262,0.0000,36.7376,0.0000,2.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.281,-8.613,3.196,0.349,1.523,0.000000,-0.086496,0.676337,0.137206,0.272953
107,874.55,0.450,-11.963,1.6880,4.8386,0.0000,9.8188,2.3277,48.6260,0.0000,36.7378,0.0000,2.4896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.281,-8.613,3.196,0.349,1.523,0.000000,-0.086494,0.676334,0.137202,0.272958
108,874.63,0.400,-11.967,1.6695,4.8402,0.0000,9.8973,2.2821,48.5043,0.0000,36.8710,0.0000,2.4453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.139,-8.511,3.161,0.345,1.506,0.000000,-0.085090,0.674984,0.134828,0.275278
109,874.63,0.400,-11.967,1.6695,4.8402,0.0000,9.8973,2.2821,48.5043,0.0000,36.8710,0.0000,2.4453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.139,-8.511,3.161,0.345,1.506,0.000000,-0.085090,0.674984,0.134828,0.275278
110,874.62,0.400,-11.967,1.6696,4.8402,0.0000,9.8975,2.2820,48.5040,0.0000,36.8713,0.0000,2.4452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.139,-8.511,3.161,0.345,1.506,0.000000,-0.085088,0.674980,0.134824,0.275285
