Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      h2oduan,      co2duan
102,879.31,0.500,-11.871,0.1562,0.0994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.689,-1.845,1.600,1.571,0.454,1.000000,0.000000
103,879.08,0.500,-11.875,0.0528,0.0995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.248,-0.624,0.541,0.531,0.153,1.000000,0.000000
104,879.07,0.500,-11.875,0.0529,0.0995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.248,-0.624,0.541,0.531,0.154,1.000000,0.000000
105,880.35,0.450,-11.856,0.1556,0.0890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.683,-1.834,1.603,1.748,0.444,1.000000,0.000000
106,880.09,0.450,-11.861,0.0526,0.0890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.245,-0.620,0.542,0.591,0.150,1.000000,0.000000
107,880.09,0.450,-11.861,0.0526,0.0890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.246,-0.620,0.542,0.591,0.150,1.000000,0.000000
108,881.40,0.400,-11.842,0.1551,0.0786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.683,-1.825,1.609,1.973,0.434,1.000000,0.000000
109,881.12,0.400,-11.847,0.0524,0.0786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.243,-0.616,0.543,0.666,0.147,1.000000,0.000000
110,881.11,0.400,-11.847,0.0524,0.0786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.244,-0.617,0.544,0.666,0.147,1.000000,0.000000
111,882.46,0.350,-11.828,0.1549,0.0684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.692,-1.820,1.620,2.266,0.426,1.000000,0.000000
112,882.15,0.350,-11.833,0.0522,0.0684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.244,-0.613,0.546,0.763,0.144,1.000000,0.000000
113,882.14,0.350,-11.833,0.0523,0.0684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.245,-0.614,0.546,0.764,0.144,1.000000,0.000000
114,883.53,0.300,-11.813,0.1552,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.713,-1.820,1.636,2.666,0.419,1.000000,0.000000
115,883.20,0.300,-11.819,0.0522,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.249,-0.612,0.550,0.897,0.141,1.000000,0.000000
116,883.19,0.300,-11.819,0.0523,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.250,-0.613,0.551,0.897,0.141,1.000000,0.000000
117,884.62,0.250,-11.798,0.1563,0.0482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.755,-1.830,1.663,3.243,0.414,1.000000,0.000000
118,884.27,0.250,-11.804,0.0525,0.0482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.260,-0.614,0.558,1.088,0.139,1.000000,0.000000
119,884.25,0.250,-11.804,0.0525,0.0482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.261,-0.615,0.559,1.089,0.139,1.000000,0.000000
120,888.18,0.200,-11.738,0.1876,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-4.536,-2.190,2.020,4.909,0.487,1.000000,0.000000
121,887.74,0.200,-11.746,0.0668,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.615,-0.780,0.719,1.747,0.174,1.000000,0.000000
122,887.75,0.200,-11.745,0.0667,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.612,-0.779,0.718,1.744,0.173,1.000000,0.000000
123,893.33,0.150,-11.650,0.2127,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-5.187,-2.477,2.323,7.501,0.542,1.000000,0.000000
124,892.75,0.150,-11.660,0.0747,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.821,-0.870,0.816,2.633,0.190,1.000000,0.000000
125,892.76,0.150,-11.660,0.0746,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.819,-0.869,0.815,2.630,0.190,1.000000,0.000000
126,898.76,0.100,-11.557,0.2123,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-5.235,-2.465,2.364,11.350,0.532,1.000000,0.000000
127,898.03,0.100,-11.570,0.0737,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.816,-0.856,0.820,3.937,0.184,1.000000,0.000000
128,898.04,0.100,-11.570,0.0736,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.816,-0.855,0.820,3.935,0.184,1.000000,0.000000
129,904.83,0.050,-11.454,0.2051,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-5.148,-2.374,2.354,22.171,0.505,1.000000,0.000000
130,903.93,0.050,-11.470,0.0700,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.757,-0.811,0.804,7.566,0.172,1.000000,0.000000
