Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
87,874.23,0.750,-11.941,5.6163,3.3815,53.1700,0.0547,1.5002,0.6291,0.0000,19.8555,0.0000,23.8177,0.0000,0.0000,0.9523,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.333,-67.845,11.756,1.661,6.662,-0.615947,0.960967,0.611463,0.024623,-0.021591,0.039025,0.001460
88,874.09,0.750,-11.943,5.6258,3.3816,53.1693,0.0547,1.4994,0.6287,0.0000,19.8609,0.0000,23.8145,0.0000,0.0000,0.9521,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.466,-67.957,11.775,1.664,6.673,-0.616113,0.960976,0.611644,0.024612,-0.021582,0.039004,0.001459
89,874.09,0.750,-11.943,5.6258,3.3816,53.1693,0.0547,1.4994,0.6287,0.0000,19.8608,0.0000,23.8145,0.0000,0.0000,0.9521,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.465,-67.957,11.775,1.664,6.673,-0.616111,0.960976,0.611642,0.024612,-0.021582,0.039004,0.001459
90,875.23,0.700,-11.927,5.6916,3.3833,53.1356,0.0534,1.4890,0.6319,0.0000,20.0151,0.0000,23.7120,0.0000,0.0000,0.9427,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.337,-68.653,11.916,1.682,6.748,-0.621476,0.961334,0.616842,0.024332,-0.021372,0.038896,0.001444
91,875.07,0.700,-11.930,5.7015,3.3834,53.1349,0.0534,1.4882,0.6314,0.0000,20.0212,0.0000,23.7083,0.0000,0.0000,0.9425,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.474,-68.770,11.935,1.685,6.760,-0.621660,0.961343,0.617044,0.024320,-0.021362,0.038872,0.001444
92,875.07,0.700,-11.930,5.7015,3.3834,53.1349,0.0534,1.4882,0.6314,0.0000,20.0212,0.0000,23.7083,0.0000,0.0000,0.9425,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.474,-68.769,11.935,1.685,6.760,-0.621660,0.961343,0.617043,0.024320,-0.021362,0.038872,0.001444
93,876.24,0.650,-11.913,5.7715,3.3853,53.0981,0.0521,1.4776,0.6348,0.0000,20.1870,0.0000,23.5971,0.0000,0.0000,0.9333,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.397,-69.506,12.085,1.705,6.840,-0.627415,0.961692,0.622641,0.024035,-0.021147,0.038766,0.001428
94,876.06,0.650,-11.916,5.7818,3.3854,53.0973,0.0520,1.4767,0.6343,0.0000,20.1936,0.0000,23.5931,0.0000,0.0000,0.9331,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.540,-69.627,12.106,1.708,6.852,-0.627619,0.961701,0.622864,0.024022,-0.021136,0.038740,0.001427
95,876.06,0.650,-11.916,5.7818,3.3854,53.0973,0.0520,1.4767,0.6343,0.0000,20.1937,0.0000,23.5930,0.0000,0.0000,0.9331,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.540,-69.627,12.106,1.708,6.852,-0.627619,0.961701,0.622865,0.024022,-0.021136,0.038740,0.001427
96,877.26,0.600,-11.899,5.8565,3.3874,53.0571,0.0507,1.4660,0.6379,0.0000,20.3720,0.0000,23.4725,0.0000,0.0000,0.9241,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.519,-70.409,12.266,1.729,6.937,-0.633804,0.962043,0.628899,0.023732,-0.020918,0.038637,0.001411
97,877.06,0.600,-11.903,5.8672,3.3875,53.0563,0.0506,1.4650,0.6373,0.0000,20.3793,0.0000,23.4680,0.0000,0.0000,0.9238,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.666,-70.534,12.287,1.732,6.949,-0.634027,0.962052,0.629144,0.023718,-0.020906,0.038609,0.001410
98,877.06,0.600,-11.903,5.8673,3.3875,53.0563,0.0506,1.4650,0.6373,0.0000,20.3794,0.0000,23.4679,0.0000,0.0000,0.9238,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.667,-70.535,12.287,1.732,6.949,-0.634029,0.962052,0.629147,0.023717,-0.020906,0.038609,0.001410
99,878.28,0.550,-11.885,5.9471,3.3898,53.0123,0.0493,1.4542,0.6412,0.0000,20.5716,0.0000,23.3370,0.0000,0.0000,0.9150,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.708,-71.364,12.457,1.754,7.040,-0.640691,0.962386,0.635662,0.023423,-0.020683,0.038511,0.001392
100,878.07,0.550,-11.889,5.9582,3.3899,53.0114,0.0492,1.4531,0.6405,0.0000,20.5795,0.0000,23.3321,0.0000,0.0000,0.9147,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.860,-71.494,12.479,1.758,7.053,-0.640932,0.962396,0.635928,0.023407,-0.020670,0.038480,0.001392
101,878.06,0.550,-11.889,5.9583,3.3899,53.0114,0.0492,1.4530,0.6405,0.0000,20.5796,0.0000,23.3321,0.0000,0.0000,0.9147,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.861,-71.495,12.479,1.758,7.053,-0.640936,0.962396,0.635933,0.023407,-0.020670,0.038479,0.001391
102,879.31,0.500,-11.871,6.0438,3.3923,52.9633,0.0479,1.4422,0.6447,0.0000,20.7871,0.0000,23.1897,0.0000,0.0000,0.9060,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-86.970,-72.378,12.661,1.782,7.150,-0.648131,0.962724,0.642983,0.023108,-0.020443,0.038387,0.001373
103,879.08,0.500,-11.875,6.0553,3.3924,52.9623,0.0478,1.4410,0.6439,0.0000,20.7957,0.0000,23.1844,0.0000,0.0000,0.9057,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.126,-72.512,12.683,1.785,7.163,-0.648391,0.962734,0.643270,0.023092,-0.020430,0.038353,0.001372
104,879.07,0.500,-11.875,6.0554,3.3924,52.9623,0.0478,1.4410,0.6439,0.0000,20.7958,0.0000,23.1843,0.0000,0.0000,0.9057,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.128,-72.513,12.684,1.785,7.163,-0.648396,0.962734,0.643276,0.023092,-0.020430,0.038353,0.001372
