Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
55,864.06,1.300,-12.077,5.0267,3.3695,53.3997,0.0677,1.6064,0.6046,0.0000,18.6819,0.0000,24.5465,0.0000,0.0000,1.0707,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.295,-61.368,10.489,1.492,5.978,-0.574309,0.956385,0.572256,0.027408,-0.023679,0.040344,0.001595
56,864.07,1.300,-12.077,5.0266,3.3695,53.3997,0.0677,1.6064,0.6046,0.0000,18.6818,0.0000,24.5465,0.0000,0.0000,1.0707,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.294,-61.366,10.488,1.492,5.978,-0.574306,0.956385,0.572252,0.027409,-0.023679,0.040344,0.001595
57,864.93,1.250,-12.066,5.0614,3.3702,53.3873,0.0667,1.5980,0.6066,0.0000,18.7543,0.0000,24.5057,0.0000,0.0000,1.0591,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.775,-61.752,10.564,1.502,6.019,-0.576988,0.956839,0.574655,0.027186,-0.023513,0.040236,0.001584
58,864.93,1.250,-12.066,5.0669,3.3702,53.3873,0.0667,1.5980,0.6066,0.0000,18.7543,0.0000,24.5057,0.0000,0.0000,1.0591,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.855,-61.819,10.576,1.503,6.025,-0.576988,0.956839,0.574655,0.027186,-0.023513,0.040236,0.001584
59,864.94,1.250,-12.066,5.0668,3.3702,53.3873,0.0667,1.5981,0.6066,0.0000,18.7542,0.0000,24.5058,0.0000,0.0000,1.0591,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.854,-61.818,10.576,1.503,6.025,-0.576985,0.956838,0.574651,0.027187,-0.023513,0.040237,0.001584
60,865.83,1.200,-12.054,5.1035,3.3709,53.3736,0.0656,1.5895,0.6086,0.0000,18.8316,0.0000,24.4613,0.0000,0.0000,1.0477,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.360,-62.223,10.656,1.514,6.068,-0.579823,0.957284,0.577220,0.026960,-0.023343,0.040129,0.001574
61,865.83,1.200,-12.054,5.1090,3.3709,53.3736,0.0656,1.5895,0.6086,0.0000,18.8316,0.0000,24.4613,0.0000,0.0000,1.0477,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.441,-62.291,10.667,1.516,6.075,-0.579823,0.957284,0.577220,0.026960,-0.023343,0.040129,0.001574
62,865.83,1.200,-12.054,5.1089,3.3709,53.3736,0.0656,1.5895,0.6086,0.0000,18.8315,0.0000,24.4613,0.0000,0.0000,1.0477,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.440,-62.290,10.667,1.516,6.074,-0.579820,0.957284,0.577217,0.026960,-0.023343,0.040130,0.001574
63,866.74,1.150,-12.041,5.1477,3.3716,53.3586,0.0645,1.5808,0.6107,0.0000,18.9141,0.0000,24.4128,0.0000,0.0000,1.0364,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.972,-62.716,10.752,1.527,6.120,-0.582827,0.957721,0.579964,0.026728,-0.023170,0.040021,0.001563
64,866.74,1.150,-12.041,5.1533,3.3716,53.3586,0.0645,1.5808,0.6107,0.0000,18.9141,0.0000,24.4128,0.0000,0.0000,1.0364,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.054,-62.784,10.763,1.528,6.126,-0.582827,0.957721,0.579964,0.026728,-0.023170,0.040021,0.001563
65,866.75,1.150,-12.041,5.1532,3.3716,53.3586,0.0645,1.5808,0.6108,0.0000,18.9141,0.0000,24.4128,0.0000,0.0000,1.0365,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.052,-62.783,10.763,1.528,6.126,-0.582825,0.957721,0.579961,0.026729,-0.023170,0.040021,0.001563
66,867.69,1.100,-12.029,5.1942,3.3725,53.3420,0.0634,1.5720,0.6130,0.0000,19.0024,0.0000,24.3600,0.0000,0.0000,1.0254,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.613,-63.233,10.852,1.540,6.174,-0.586015,0.958150,0.582902,0.026492,-0.022994,0.039912,0.001552
67,867.69,1.100,-12.029,5.1998,3.3725,53.3420,0.0634,1.5720,0.6130,0.0000,19.0024,0.0000,24.3600,0.0000,0.0000,1.0254,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.695,-63.301,10.864,1.542,6.181,-0.586015,0.958150,0.582902,0.026492,-0.022994,0.039912,0.001552
68,867.69,1.100,-12.028,5.1997,3.3725,53.3420,0.0634,1.5720,0.6130,0.0000,19.0024,0.0000,24.3600,0.0000,0.0000,1.0254,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.694,-63.300,10.864,1.542,6.180,-0.586013,0.958150,0.582899,0.026492,-0.022994,0.039913,0.001552
69,868.66,1.050,-12.015,5.2431,3.3734,53.3239,0.0623,1.5629,0.6153,0.0000,19.0969,0.0000,24.3025,0.0000,0.0000,1.0146,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.286,-63.774,10.958,1.554,6.231,-0.589402,0.958571,0.586050,0.026251,-0.022813,0.039803,0.001540
70,868.66,1.050,-12.015,5.2487,3.3734,53.3239,0.0623,1.5629,0.6153,0.0000,19.0969,0.0000,24.3025,0.0000,0.0000,1.0146,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.369,-63.843,10.970,1.556,6.238,-0.589402,0.958571,0.586050,0.026251,-0.022813,0.039803,0.001540
71,868.66,1.050,-12.015,5.2487,3.3734,53.3239,0.0623,1.5630,0.6153,0.0000,19.0968,0.0000,24.3025,0.0000,0.0000,1.0146,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.368,-63.842,10.970,1.556,6.238,-0.589399,0.958571,0.586047,0.026251,-0.022814,0.039804,0.001540
72,869.65,1.000,-12.001,5.2946,3.3744,53.3041,0.0611,1.5537,0.6177,0.0000,19.1980,0.0000,24.2400,0.0000,0.0000,1.0039,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.992,-64.341,11.070,1.569,6.291,-0.593004,0.958983,0.589423,0.026004,-0.022629,0.039694,0.001529
73,869.65,1.000,-12.001,5.3003,3.3744,53.3041,0.0611,1.5537,0.6177,0.0000,19.1980,0.0000,24.2400,0.0000,0.0000,1.0039,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.075,-64.411,11.082,1.571,6.298,-0.593004,0.958983,0.589423,0.026004,-0.022629,0.039694,0.001529
