Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
57,864.93,1.250,-12.066,1.7100,4.8246,0.0000,9.3832,2.7657,49.1681,0.0000,35.7930,0.0000,2.8901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.508,-8.831,3.231,0.354,1.546,0.000000,-0.098533,0.680493,0.158483,0.259557
58,864.93,1.250,-12.066,1.7118,4.8246,0.0000,9.3832,2.7657,49.1681,0.0000,35.7930,0.0000,2.8901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.522,-8.840,3.235,0.355,1.548,0.000000,-0.098533,0.680493,0.158483,0.259557
59,864.94,1.250,-12.066,1.7118,4.8246,0.0000,9.3831,2.7658,49.1682,0.0000,35.7928,0.0000,2.8901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.522,-8.840,3.235,0.355,1.548,0.000000,-0.098533,0.680494,0.158485,0.259554
60,865.83,1.200,-12.054,1.7176,4.8249,0.0000,9.3842,2.7522,49.1761,0.0000,35.8081,0.0000,2.8794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.564,-8.866,3.247,0.356,1.553,0.000000,-0.098254,0.680706,0.157921,0.259626
61,865.83,1.200,-12.054,1.7194,4.8249,0.0000,9.3842,2.7522,49.1761,0.0000,35.8081,0.0000,2.8794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.577,-8.876,3.250,0.356,1.555,0.000000,-0.098254,0.680706,0.157921,0.259626
62,865.83,1.200,-12.054,1.7194,4.8249,0.0000,9.3841,2.7523,49.1762,0.0000,35.8079,0.0000,2.8794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.577,-8.875,3.250,0.356,1.555,0.000000,-0.098254,0.680708,0.157923,0.259623
63,866.74,1.150,-12.041,1.7245,4.8252,0.0000,9.3863,2.7381,49.1824,0.0000,35.8254,0.0000,2.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.615,-8.898,3.261,0.357,1.559,0.000000,-0.097939,0.680904,0.157310,0.259725
64,866.74,1.150,-12.041,1.7264,4.8252,0.0000,9.3863,2.7381,49.1824,0.0000,35.8254,0.0000,2.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.628,-8.907,3.264,0.358,1.561,0.000000,-0.097939,0.680904,0.157310,0.259725
65,866.75,1.150,-12.041,1.7264,4.8252,0.0000,9.3862,2.7382,49.1826,0.0000,35.8252,0.0000,2.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.628,-8.907,3.264,0.358,1.561,0.000000,-0.097939,0.680905,0.157312,0.259722
66,867.69,1.100,-12.029,1.7308,4.8256,0.0000,9.3895,2.7233,49.1870,0.0000,35.8451,0.0000,2.8552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.660,-8.925,3.274,0.359,1.565,0.000000,-0.097585,0.681084,0.156645,0.259857
67,867.69,1.100,-12.029,1.7327,4.8256,0.0000,9.3895,2.7233,49.1870,0.0000,35.8451,0.0000,2.8552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.674,-8.935,3.277,0.359,1.567,0.000000,-0.097585,0.681084,0.156645,0.259857
68,867.69,1.100,-12.028,1.7327,4.8256,0.0000,9.3894,2.7233,49.1871,0.0000,35.8450,0.0000,2.8552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.674,-8.935,3.277,0.359,1.567,0.000000,-0.097586,0.681085,0.156647,0.259854
69,868.66,1.050,-12.015,1.7364,4.8259,0.0000,9.3938,2.7077,49.1895,0.0000,35.8675,0.0000,2.8415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.700,-8.949,3.285,0.360,1.570,0.000000,-0.097191,0.681243,0.155924,0.260025
70,868.66,1.050,-12.015,1.7383,4.8259,0.0000,9.3938,2.7077,49.1895,0.0000,35.8675,0.0000,2.8415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.714,-8.959,3.289,0.360,1.572,0.000000,-0.097191,0.681243,0.155924,0.260025
71,868.66,1.050,-12.015,1.7382,4.8259,0.0000,9.3937,2.7077,49.1896,0.0000,35.8674,0.0000,2.8416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.714,-8.959,3.289,0.360,1.572,0.000000,-0.097192,0.681244,0.155925,0.260023
72,869.65,1.000,-12.001,1.7411,4.8264,0.0000,9.3995,2.6913,49.1897,0.0000,35.8927,0.0000,2.8267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.734,-8.968,3.295,0.361,1.574,0.000000,-0.096754,0.681378,0.155142,0.260234
73,869.65,1.000,-12.001,1.7430,4.8264,0.0000,9.3995,2.6913,49.1897,0.0000,35.8927,0.0000,2.8267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.748,-8.978,3.299,0.361,1.576,0.000000,-0.096754,0.681378,0.155142,0.260234
